"country","MostConservative_MostLiberalCountries_LDI2023","MostConservativeRank2023","mostConservativeCountries_ranking"
"India",0.31,82,21
"China",0.04,10,
"United States",0.74,154,
"Indonesia",0.43,104,
"Pakistan",0.26,73,4
"Nigeria",0.32,84,22
"Brazil",0.53,121,
"Bangladesh",0.11,35,13
"Russia",0.07,22,
"Ethiopia",0.16,52,10
"Mexico",0.34,85,
"Japan",0.73,150,
"Philippines",0.29,79,
"Egypt",0.12,38,6
"DR Congo",0.16,51,
"Vietnam",0.12,41,
"Iran",0.1,28,3
"Turkey",0.12,39,19
"Germany",0.81,168,
"Thailand",0.18,55,
"Tanzania",0.36,89,
"United Kingdom",0.77,160,
"France",0.8,165,
"South Africa",0.58,129,
"Italy",0.77,159,
"Kenya",0.42,99,
"Myanmar",0.05,14,
"Colombia",0.55,125,
"South Korea",0.73,151,
"Uganda",0.2,58,
"Sudan",0.07,21,
"Spain",0.79,163,
"Iraq",0.2,59,
"Algeria",0.13,42,24
"Argentina",0.64,136,
"Afghanistan",0.03,6,
"Poland",0.43,103,
"Canada",0.74,155,
"Morocco",0.25,69,20
"Ukraine",0.23,64,
"Angola",0.18,56,12
"Saudi Arabia",0.04,8,7
"Uzbekistan",0.08,24,
"Yemen",0.04,7,1
"Mozambique",0.25,71,
"Ghana",0.55,124,
"Peru",0.63,132,
"Malaysia",0.31,83,
"Nepal",0.5,114,11
"Madagascar",0.26,75,
"Ivory Coast",0.24,67,
"Venezuela",0.06,16,
"Cameroon",0.14,47,
"Niger",0.38,93,
"Australia",0.81,167,
"North Korea",0.01,2,
"Syria",0.03,4,
"Mali",0.15,49,2
"Taiwan",0.73,153,
"Burkina Faso",0.22,63,18
"Sri Lanka",0.41,96,25
"Malawi",0.54,122,
"Zambia",0.44,105,
"Kazakhstan",0.14,45,
"Chile",0.76,157,
"Romania",0.55,126,
"Chad",0.03,5,5
"Somalia",0.1,29,
"Ecuador",0.5,115,
"Guatemala",0.26,72,
"Senegal",0.54,123,
"Netherlands",0.8,166,
"Cambodia",0.06,15,17
"Zimbabwe",0.19,57,
"Guinea",0.1,30,
"Rwanda",0.12,40,
"Benin",0.3,80,23
"Burundi",0.08,26,
"Bolivia",0.35,88,
"Tunisia",0.22,62,
"Haiti",0.15,48,
"Belgium",0.83,173,
"Dominican Republic",0.46,110,
"Jordan",0.25,70,16
"South Sudan",0.06,18,
"Cuba",0.06,19,
"Honduras",0.4,95,
"Sweden",0.87,177,
"Papua New Guinea",0.37,91,
"Czech Republic",0.79,164,
"Azerbaijan",0.06,17,
"Tajikistan",0.05,13,
"Greece",0.6,130,
"Portugal",0.76,158,
"Hungary",0.34,86,
"United Arab Emirates",0.09,27,
"Belarus",0.04,9,
"Israel",0.65,137,
"Togo",0.24,68,
"Sierra Leone",0.43,101,
"Austria",0.7,145,
"Switzerland",0.85,174,
"Laos",0.11,36,
"Hong Kong",0.12,37,
"Nicaragua",0.03,3,
"Serbia",0.27,78,
"Libya",0.11,33,
"Paraguay",0.43,100,
"Kyrgyzstan",0.23,66,
"Bulgaria",0.61,131,
"Turkmenistan",0.04,11,
"El Salvador",0.15,50,
"Republic of the Congo",0.11,34,
"Singapore",0.34,87,
"Denmark",0.89,178,
"Central African Republic",0.17,53,
"Slovakia",0.78,161,
"Finland",0.82,171,
"Liberia",0.46,109,15
"Norway",0.86,176,
"Palestine",0.08,25,
"New Zealand",0.83,172,
"Costa Rica",0.82,170,
"Lebanon",0.26,74,8
"Ireland",0.82,169,
"Mauritania",0.17,54,
"Oman",0.14,44,
"Panama",0.57,127,
"Kuwait",0.3,81,14
"Croatia",0.65,140,
"Eritrea",0.01,1,
"Georgia",0.51,120,
"Mongolia",0.43,102,
"Uruguay",0.72,148,
"Moldova",0.64,133,
"Bosnia and Herzegovina",0.37,90,
"Gambia",0.5,117,
"Albania",0.41,98,
"Jamaica",0.7,146,
"Armenia",0.45,107,
"Qatar",0.08,23,
"Botswana",0.46,111,
"Lithuania",0.73,149,
"Namibia",0.51,118,
"Gabon",0.21,60,
"Lesotho",0.5,116,
"Guinea-Bissau",0.21,61,
"Slovenia",0.71,147,
"Latvia",0.74,156,
"Equatorial Guinea",0.05,12,
"Trinidad and Tobago",0.67,143,
"Bahrain",0.06,20,
"Timor-Leste",0.51,119,
"Estonia",0.85,175,
"Mauritius",0.39,94,
"Cyprus",0.64,135,
"Eswatini",0.1,31,9
"Djibouti",0.13,43,
"Fiji",0.27,76,
"Comoros",0.11,32,
"Guyana",0.37,92,
"Bhutan",0.44,106,
"Solomon Islands",0.48,113,
"Luxembourg",0.79,162,
"Suriname",0.65,138,
"Montenegro",0.41,97,
"Cape Verde",0.65,139,
"Malta",0.64,134,
"Maldives",0.45,108,
"Iceland",0.73,152,
"Vanuatu",0.66,141,
"Barbados",0.67,144,
"Sao Tome and Principe",0.58,128,
"Seychelles",0.67,142,
