"country","SocialProgressIndexScore2022"
"India",60.19
"China",65.74
"United States",84.65
"Indonesia",66.67
"Pakistan",51.32
"Nigeria",52.97
"Brazil",71.26
"Bangladesh",56.06
"Russia",71.99
"Ethiopia",47.43
"Mexico",70.84
"Japan",88.19
"Philippines",67.46
"Egypt",58.73
"DR Congo",42.7
"Vietnam",68.18
"Iran",63.72
"Turkey",66.59
"Germany",88.72
"Thailand",69.8
"Tanzania",54.87
"United Kingdom",86.13
"France",86.07
"South Africa",69.95
"Italy",85.23
"Kenya",57.96
"Myanmar",51.46
"Colombia",69.83
"South Korea",86.47
"Uganda",49.34
"Sudan",45.41
"Spain",85.35
"Iraq",56.82
"Algeria",65.59
"Argentina",78.64
"Afghanistan",37.34
"Poland",80.17
"Canada",88.17
"Morocco",64.04
"Ukraine",74.17
"Angola",46.87
"Saudi Arabia",63.89
"Uzbekistan",66.12
"Yemen",39.08
"Mozambique",48.27
"Ghana",64.8
"Peru",70.7
"Malaysia",74.08
"Nepal",59.39
"Madagascar",47.07
"Ivory Coast",54.01
"Venezuela",58.62
"Cameroon",51.4
"Niger",43.14
"Australia",87.83
"Syria",51.98
"Mali",46.93
"Burkina Faso",49.83
"Sri Lanka",69.22
"Malawi",54.29
"Zambia",52.07
"Kazakhstan",71.21
"Chile",80.78
"Romania",76.89
"Chad",34.69
"Somalia",35.85
"Ecuador",71.75
"Guatemala",60.21
"Senegal",57.7
"Netherlands",88.97
"Cambodia",55.71
"Zimbabwe",52.17
"Guinea",42.41
"Rwanda",52.18
"Benin",55.59
"Burundi",42.91
"Bolivia",67.15
"Tunisia",69.77
"Haiti",45.42
"Belgium",87.22
"Dominican Republic",69.76
"Jordan",67.32
"South Sudan",30.65
"Honduras",61.17
"Sweden",89.42
"Papua New Guinea",48.12
"Czech Republic",85.19
"Azerbaijan",63.26
"Tajikistan",56.05
"Greece",82.44
"Portugal",84.75
"Hungary",78.21
"United Arab Emirates",70.7
"Belarus",71.49
"Israel",83.17
"Togo",51.58
"Sierra Leone",50.48
"Austria",88.05
"Switzerland",90.26
"Laos",51.17
"Nicaragua",60.23
"Serbia",75.8
"Libya",54.28
"Paraguay",68.96
"Kyrgyzstan",67.23
"Bulgaria",76.81
"Turkmenistan",56.75
"El Salvador",64.42
"Republic of the Congo",47.54
"Singapore",83.76
"Denmark",90.54
"Central African Republic",32.39
"Slovakia",81.29
"Finland",90.46
"Liberia",49.03
"Norway",90.74
"Palestine",65.19
"New Zealand",87.26
"Costa Rica",80.65
"Lebanon",66.48
"Ireland",87.69
"Mauritania",46.6
"Oman",67.7
"Panama",74.02
"Kuwait",74.06
"Croatia",82.32
"Eritrea",34.85
"Georgia",74.43
"Mongolia",67.21
"Uruguay",80.27
"Moldova",74.19
"Bosnia and Herzegovina",71.23
"Gambia",54.68
"Albania",74.12
"Jamaica",73.48
"Armenia",74.78
"Qatar",66.47
"Botswana",65.89
"Lithuania",83.71
"Namibia",62
"Gabon",62.18
"Lesotho",52.9
"Guinea-Bissau",46.65
"Slovenia",84.19
"North Macedonia",72.74
"Latvia",82.46
"Equatorial Guinea",46.58
"Trinidad and Tobago",75.58
"Bahrain",66.09
"Timor-Leste",58.92
"Estonia",86.16
"Mauritius",75.44
"Cyprus",83.18
"Eswatini",49.19
"Djibouti",49.39
"Fiji",67.02
"Comoros",52.11
"Guyana",65.54
"Bhutan",68.05
"Solomon Islands",52.4
"Luxembourg",87.48
"Suriname",71.22
"Montenegro",74.64
"Cape Verde",69.01
"Malta",84.52
"Maldives",68.02
"Iceland",89.54
"Barbados",79.6
"Sao Tome and Principe",62.49
